rang_pop_2007,rang_dens_2007,etat
1,39,Chine
2,14,Inde
3,123,États-Unis
4,48,Indonésie
5,134,Brésil
6,28,Pakistan
7,3,Bangladesh
8,159,Russie
9,38,Nigeria
10,16,Japon
11,100,Mexique
12,21,Philippines
13,24,Viêt-nam
14,27,Allemagne
15,79,Égypte
16,84,Éthiopie
17,64,Turquie
18,111,Iran
19,42,Thaïlande
20,49,France
21,128,République démocratique du Congo
22,25,Royaume-Uni
23,31,Italie
24,80,Myanmar
25,9,Corée du Sud
26,118,Afrique du Sud
27,74,Ukraine
28,113,Colombie
29,68,Espagne
30,141,Soudan
31,147,Argentine
32,46,Pologne
33,116,Tanzanie
34,96,Kenya
35,148,Algérie
36,170,Canada
37,82,Maroc
38,104,Afghanistan
39,86,Irak
40,132,Pérou
41,51,Ouganda
42,125,Venezuela
43,71,Malasie
44,99,Ouzbékistan
45,35,Népal
46,157,Arabie Saoudite
47,32,Corée du Nord
48,8,Taïwan
49,65,Ghana
50,112,Yémen
51,67,Roumanie
52,172,Australie
53,20,Sri Lanka
54,131,Mozambique
55,93,Côte d'Ivoire
56,58,Syrie
57,126,Madagascar
58,119,Cameroun
59,10,Pays-Bas
60,133,Chili
61,151,Angola
62,162,Kazakhastan
63,154,Niger
64,73,Cambodge
65,155,Mali
66,102,Burkina Faso
67,105,Équateur
68,122,Zimbabwe
69,45,Guatemala
70,57,Malawi
71,140,Zambie
72,94,Sénégal
73,59,Cuba
74,69,Grèce
75,50,Portugal
76,15,Belgique
77,41,République tchèque
78,92,Tunisie
79,56,Hongrie
80,158,Tchad
81,114,Guinée
82,106,Biélorussie
83,66,Serbie
84,136,Suède
85,12,Rwanda
86,160,Bolivie
87,33,République dominicaine
88,146,Somalie
89,77,Bénin
90,19,Haïti
91,63,Azerbaïdjan
92,62,Autriche
93,22,Burundi
94,83,Bulgarie
95,34,Suisse
96,88,Honduras
97,13,Israël
98,103,Tadjikistan
99,17,Salvador
100,52,Togo
101,143,Paraguay
102,129,Laos
103,149,Papouasie-Nouvelle-Guinée
104,167,Libye
105,72,Sierra Leone
106,109,Nicaragua
107,90,Jordanie
108,54,Slovaquie
109,43,Danemark
110,153,Turkménistan
111,142,Finlande
112,130,Kirghizstan
113,98,Émirats arabes unis
114,145,Norvège
115,115,Érythrée
116,1,Singapour
117,91,Géorgie
118,76,Croatie
119,161,République centrafricaine
120,70,Costa Rica
121,97,Irlande
122,144,Nouvelle-Zélande
123,47,Moldavie
124,11,Liban
125,78,Bosnie-Herzégovine
126,156,Congo
127,101,Lituanie
128,124,Liberia
129,137,Uruguay
130,108,Panama
131,166,Mauritanie
132,55,Albanie
133,61,Arménie
134,37,Koweït
135,26,Jamaïque
136,152,Oman
137,173,Mongolie
138,120,Lettonie
139,165,Namibie
140,60,Slovénie
141,75,Macédoine du Nord
142,95,Lesotho
143,171,Botswana
144,40,Gambie
145,117,Guinée-Bissau
146,163,Gabon
147,23,Trinité-et-Tobago
148,7,Maurice
149,127,Estonie
150,89,Eswatini (ex-Swaziland)
151,85,Timor-Oriental
152,53,Chypre
153,138,Bhoutan
154,81,Qatar
155,107,Fidji
156,121,Djibouti
157,169,Guyana
158,18,Comores
159,5,Bahreïn
160,110,Monténégro
161,164,Suriname
162,36,Luxembourg
163,139,Guinée-Équatoriale
164,44,Cap-Vert
165,2,Malte
166,87,Brunei
167,4,Maldives
168,6,La Barbade
169,168,Islande
170,150,Belize
171,135,Bahamas
172,29,São-Tomé-et-Principe
173,30,Seychelles
